ID,lat,lon
567,44.98610349,8.05852277
568,44.9866087,8.12193917
569,44.98707871,8.18535719
570,44.98751351,8.24877671
571,44.98791308,8.3121976
572,44.98827745,8.37561977
573,44.98860659,8.43904308
574,44.98890051,8.50246742
575,44.98915922,8.56589268
576,44.98938269,8.62931874
577,44.98957095,8.69274548
578,44.98972398,8.75617279
579,44.98984178,8.81960055
580,44.98992436,8.88302863
581,44.98997171,8.94645694
582,45.01105947,6.66217786
583,45.01234039,6.72557876
584,45.01358614,6.78898384
585,45.01479671,6.852393
586,45.01597209,6.9158061
587,45.01711229,6.97922305
588,45.01821729,7.04264371
589,45.01928709,7.10606798
590,45.02032169,7.16949573
591,45.02132107,7.23292686
592,45.02228524,7.29636124
593,45.0232142,7.35979876
594,45.02410792,7.4232393
595,45.02496642,7.48668274
596,45.02578968,7.55012897
597,45.02657771,7.61357788
598,45.0273305,7.67702933
599,45.02804804,7.74048323
600,45.02873033,7.80393944
601,45.02937738,7.86739786
602,45.02998916,7.93085837
603,45.03056569,7.99432085
604,45.03110696,8.05778518
605,45.03161297,8.12125125
606,45.03208371,8.18471894
607,45.03251918,8.24818813
608,45.03291939,8.31165871
609,45.03328432,8.37513056
610,45.03361398,8.43860356
611,45.03390836,8.50207759
612,45.03416746,8.56555254
613,45.03439129,8.6290283
614,45.03457984,8.69250473
615,45.03473311,8.75598174
616,45.0348511,8.81945919
617,45.0349338,8.88293698
618,45.05603129,6.66034516
619,45.05731421,6.72379565
620,45.0585619,6.78725035
621,45.05977435,6.85070912
622,45.06095157,6.91417186
623,45.06209355,6.97763845
624,45.06320028,7.04110876
625,45.06427175,7.10458269
626,45.06530796,7.16806012
627,45.06630891,7.23154093
628,45.06727458,7.295025
629,45.06820498,7.35851222
630,45.0691001,7.42200247
631,45.06995994,7.48549563
632,45.07078449,7.54899159
633,45.07157375,7.61249023
634,45.07232771,7.67599143
635,45.07304637,7.73949507
636,45.07372973,7.80300104
637,45.07437779,7.86650922
638,45.07499053,7.9300195
639,45.07556796,7.99353175
640,45.07611007,8.05704586
641,45.07661687,8.12056171
642,45.07708835,8.18407919
643,45.0775245,8.24759817
644,45.07792533,8.31111855
645,45.07829083,8.37464019
646,45.078621,8.438163
647,45.07891584,8.50168684
648,45.07917535,8.5652116
649,45.07939953,8.62873716
650,45.07994289,8.88284511
651,45.10100269,6.65850814
652,45.10228761,6.72200835
653,45.10353725,6.78551277
654,45.1047516,6.84902128
655,45.10593065,6.91253377
656,45.10707441,6.97605011
657,45.10818287,7.0395702
658,45.10925601,7.10309391
659,45.11029384,7.16662113
660,45.11129635,7.23015174
661,45.11226353,7.29368562
662,45.11319538,7.35722266
663,45.1140919,7.42076273
664,45.11495308,7.48430573
665,45.11577892,7.54785153
666,45.11656941,7.61140002
667,45.11732455,7.67495108
668,45.11804433,7.73850458
669,45.11872876,7.80206043
670,45.11937782,7.86561849
671,45.11999152,7.92917865
672,45.12056986,7.99274079
673,45.12111282,8.0563048
674,45.12162041,8.11987055
675,45.12209262,8.18343793
676,45.12252945,8.24700682
677,45.12293091,8.31057711
678,45.12329698,8.37414868
679,45.12362767,8.4377214
680,45.12392297,8.50129516
681,45.12418289,8.56486985
682,45.12440741,8.62844534
683,45.14597368,6.6566668
684,45.1472606,6.72021684
685,45.14851219,6.7837711
686,45.14972843,6.84732947
687,45.15090933,6.91089182
688,45.15205488,6.97445804
689,45.15316506,7.03802801
690,45.15423988,7.10160162
691,45.15527933,7.16517875
692,45.1562834,7.22875927
693,45.15725209,7.29234308
694,45.1581854,7.35593005
695,45.15908332,7.41952007
696,45.15994585,7.48311302
697,45.16077297,7.54670878
698,45.1615647,7.61030724
699,45.16232101,7.67390827
700,45.16304192,7.73751176
701,45.16372742,7.8011176
702,45.16437749,7.86472565
703,45.16499215,7.92833582
704,45.16557139,7.99194797
705,45.1661152,8.05556198
706,45.16662358,8.11917776
707,45.16709653,8.18279516
708,45.16753404,8.24641408
709,45.16793613,8.3100344
710,45.16830277,8.373656
711,45.16863397,8.43727876
712,45.16892974,8.50090257
713,45.16919006,8.5645273
714,45.19703494,6.97286221
715,45.19814685,7.03648219
